,39,11,-1,22900,-1,2,0,1,1,-1,5,2024
0,40,11,1,22900,5,1,0,1,1,-1,5,2024
1,43,11,2,22900,-1,2,0,1,6,-1,5,2024
2,39,11,-1,22900,-1,2,0,1,4,-1,5,2024
3,39,11,2,22900,-1,1,0,6,6,-1,5,2024
4,39,11,-1,12220,-1,2,0,1,1,-1,1,2024
5,39,11,-1,12220,-1,1,0,1,1,-1,1,2024
6,39,8,-1,0,-1,1,0,1,6,-1,50,2024
7,43,8,-1,0,-1,2,0,1,4,-1,50,2024
8,40,10,1,19740,2,2,0,1,4,-1,8,2024
9,37,1,-1,0,-1,2,2,2,6,-1,1,2024
10,-1,1,-1,0,-1,1,0,2,-1,-1,1,2024
11,-1,1,-1,0,-1,2,0,2,-1,-1,1,2024
12,41,16,1,42200,4,1,0,1,1,-1,6,2024
13,43,16,1,42200,4,2,0,1,1,-1,6,2024
14,42,13,1,26620,8,2,0,1,4,-1,1,2024
15,40,16,1,24540,6,1,1,1,1,-1,8,2024
16,43,16,1,24540,4,2,1,1,1,-1,8,2024
17,-1,16,-1,24540,-1,1,0,1,-1,-1,8,2024
18,43,16,1,41940,4,1,0,4,1,-1,6,2024
19,43,16,1,41940,2,2,0,4,1,-1,6,2024
20,40,16,-1,41940,-1,1,0,4,6,-1,6,2024
21,40,16,-1,41940,-1,1,0,4,6,-1,6,2024
22,46,14,-1,30780,-1,1,0,4,1,-1,5,2024
23,40,14,-1,30780,-1,2,0,4,1,-1,5,2024
24,39,15,1,0,6,1,3,1,1,-1,2,2024
25,39,15,1,0,4,2,3,1,1,40,2,2024
26,-1,15,-1,0,-1,2,0,1,-1,-1,2,2024
27,-1,15,-1,0,-1,2,0,1,-1,-1,2,2024
28,-1,15,-1,0,-1,1,0,1,-1,-1,2,2024
29,43,16,-1,19100,-1,2,0,1,1,-1,48,2024
30,44,16,1,19100,6,1,0,1,1,-1,48,2024
31,40,16,-1,19100,-1,2,0,1,6,-1,48,2024
32,39,14,1,46520,1,2,4,8,6,-1,15,2024
33,41,14,1,46520,4,1,4,15,6,-1,15,2024
34,37,14,-1,46520,-1,1,0,21,6,-1,15,2024
35,-1,14,-1,46520,-1,1,0,21,-1,-1,15,2024
36,-1,14,-1,46520,-1,2,0,21,-1,-1,15,2024
37,-1,14,-1,46520,-1,1,0,21,-1,-1,15,2024
38,36,14,-1,46520,-1,1,0,9,6,-1,15,2024
